user_id,user_name,user_contact,city_id,user_address
1,Timbul Natsir,+62-00-021-5236,7,"Gg. Asia Afrika No. 89
Padangpanjang, ST 05261"
2,Kani Budiyanto,+62 (59) 334 9564,7,"Jl. Sukabumi No. 410
Gorontalo, MU 36686"
3,"Rendy Kusmawati, M.M.",+62 (0535) 976-3649,1,"Gang Veteran No. 385
Palu, Nusa Tenggara Timur 14503"
4,Makara Namaga,+62 (565) 653 0694,8,"Gang R.E Martadinata No. 67
Prabumulih, ST 87329"
5,Titin Wijaya,0893861604,2,"Jl. Suniaraja No. 321
Samarinda, Bengkulu 54809"
6,Agnes Maryati,(036) 388 2168,6,"Gang Ronggowarsito No. 11
Cilegon, AC 19552"
7,Ilsa Thamrin,+62 (85) 178-8271,4,"Gg. Jend. A. Yani No. 886
Pagaralam, Kepulauan Bangka Belitung 52141"
8,Opan Salahudin,+62 (66) 033-5523,10,"Gang KH Amin Jasuta No. 7
Tarakan, Banten 10057"
9,Ir. Keisha Uwais,086 924 5507,1,"Gang Raya Setiabudhi No. 0
Kota Administrasi Jakarta Pusat, Sulawesi Selatan 82792"
10,Puti Chelsea Rajata,+62 (372) 849-3777,1,"Jl. Pasir Koja No. 9
Manado, Riau 90763"
11,"Ir. Kayla Hastuti, M.TI.",+62 (821) 210 0755,5,"Jalan Jakarta No. 087
Pasuruan, KI 99312"
12,Winda Mahendra,(052) 667-5023,7,"Gang M.H Thamrin No. 684
Tanjungbalai, Kalimantan Barat 27708"
13,Lintang Narpati,(023) 865 5131,9,"Gang Gegerkalong Hilir No. 8
Tegal, Riau 08214"
14,"Drs. Almira Widodo, S.Pt",+62 (01) 092-2267,7,"Gg. Dipenogoro No. 002
Bandar Lampung, Jawa Tengah 85658"
15,"Yance Yuniar, M.Farm",+62-026-773-9616,8,"Gang Moch. Toha No. 2
Banda Aceh, Maluku Utara 66462"
16,Restu Purwanti,+62-65-792-2258,7,"Jalan Antapani Lama No. 9
Manado, KU 77277"
17,"Tgk. Titi Dongoran, S.IP",+62 (265) 048 2896,2,"Jalan Abdul Muis No. 03
Kotamobagu, KB 69635"
18,"Johan Wulandari, M.Farm",+62 (0382) 496-3999,6,"Jl. Raya Setiabudhi No. 409
Cilegon, KI 77945"
19,Ir. Irwan Ardianto,089 298 3387,9,"Jalan Jamika No. 7
Singkawang, SU 87666"
20,"Cut Safina Hidayat, M.Ak",+62 (0196) 554-6526,5,"Jalan Cikutra Timur No. 376
Parepare, GO 55460"
21,Cager Melani,(0340) 034 4714,9,"Gang Indragiri No. 9
Banjar, SB 15933"
22,"Dr. Eli Wasita, S.E.",088 697 4289,8,"Jalan Jend. Sudirman No. 3
Magelang, Papua Barat 76352"
23,Usyi Situmorang,+62 (621) 754 0056,7,"Jl. Tubagus Ismail No. 1
Sungai Penuh, DI Yogyakarta 38801"
24,Ghaliyati Sudiati,+62 (08) 624-4154,2,"Jalan Cihampelas No. 228
Lubuklinggau, Jawa Barat 05972"
25,"Ir. Putu Pradipta, S.Ked",(090) 941-6630,6,"Jalan Asia Afrika No. 49
Makassar, Maluku Utara 65283"
26,Latika Agustina,+62 (0376) 284-9833,1,"Jl. Monginsidi No. 085
Balikpapan, Maluku 93788"
27,Unjani Simanjuntak,(0902) 475-8498,6,"Jalan Veteran No. 6
Magelang, SS 04428"
28,Aisyah Tarihoran,0830124151,4,"Gang Surapati No. 49
Tebingtinggi, SU 32137"
29,Mulya Prastuti,+62-017-678-5083,3,"Gg. Kendalsari No. 2
Pontianak, Sumatera Utara 71191"
30,"Artanto Pradipta, S.Pt",082 533 0495,1,"Jl. Gegerkalong Hilir No. 777
Probolinggo, Jambi 58263"
31,Eka Marpaung,085 219 1647,4,"Gang Sadang Serang No. 85
Banjar, YO 45323"
32,"Pardi Wahyudin, M.M.",+62-10-216-2416,8,"Jalan S. Parman No. 40
Tomohon, Maluku Utara 76966"
33,Danuja Ramadan,0850896029,5,"Jalan Pelajar Pejuang No. 14
Balikpapan, DKI Jakarta 71354"
34,Fitriani Kurniawan,+62-0058-223-9624,5,"Gang Erlangga No. 783
Jayapura, RI 59992"
35,Ratih Mangunsong,(0955) 469 9654,5,"Jl. Pelajar Pejuang No. 91
Bitung, Sulawesi Barat 26668"
36,Raisa Pudjiastuti,+62 (074) 355-8081,8,"Gang Cikutra Barat No. 4
Blitar, Kalimantan Timur 57589"
37,KH. Emong Ardianto,+62-005-857-2226,8,"Jl. PHH. Mustofa No. 3
Malang, MA 94110"
38,Jinawi Prabowo,(0060) 647-7244,7,"Jalan Tebet Barat Dalam No. 6
Bitung, Aceh 05385"
39,"Sutan Umay Wastuti, M.Farm",+62 (622) 603 4314,4,"Jl. Soekarno Hatta No. 0
Solok, JT 73712"
40,"drg. Putu Nainggolan, S.Psi",+62 (0581) 422 5347,9,"Jl. Abdul Muis No. 311
Meulaboh, BE 20742"
41,"Adhiarja Lazuardi, M.Ak",+62-067-599-2495,6,"Jl. Dr. Djunjunan No. 238
Subulussalam, PA 51833"
42,"Samiah Mardhiyah, S.Psi",+62-035-268-9855,2,"Jl. Moch. Ramdan No. 18
Batam, SS 28377"
43,Malika Sudiati,0831914705,10,"Gg. Gardujati No. 738
Tebingtinggi, KS 37229"
44,Agnes Uwais,(0101) 566-1485,2,"Gang Dipatiukur No. 9
Pekalongan, Jawa Barat 30874"
45,Makuta Usamah,+62-624-104-9387,1,"Gang Kendalsari No. 317
Pekalongan, Sulawesi Barat 69556"
46,Kalim Saragih,+62-55-228-8286,7,"Jalan Cikutra Barat No. 2
Purwokerto, JA 26857"
47,Dr. Tami Rahimah,+62-0513-664-2516,3,"Gang Kebonjati No. 0
Pariaman, SU 54401"
48,Kamidin Marbun,+62 (0554) 882-2011,7,"Jl. Laswi No. 5
Bau-Bau, BB 59866"
49,Rangga Prastuti,+62-93-136-3841,1,"Gang Jend. A. Yani No. 2
Sabang, JB 28859"
50,Wulan Anggriawan,(027) 977-4913,3,"Jalan Rajiman No. 305
Tual, SS 95539"
51,Laksana Sirait,(074) 872 8356,9,"Jl. Jend. A. Yani No. 30
Bandar Lampung, Aceh 57727"
52,"Silvia Saefullah, S.E.",+62-009-634-4085,3,"Gg. Rungkut Industri No. 728
Pontianak, ST 51282"
53,Irnanto Sihombing,(086) 553-9088,1,"Jl. H.J Maemunah No. 463
Bukittinggi, Jawa Tengah 10739"
54,Wardi Santoso,+62 (037) 802 8596,2,"Gang Rajawali Barat No. 595
Serang, Maluku Utara 33678"
55,Jasmani Haryanti,+62 (0570) 685-2629,2,"Gang Laswi No. 654
Samarinda, SU 80974"
56,Gawati Nasyiah,(036) 816-9433,4,"Gg. Kutai No. 038
Parepare, Sulawesi Barat 54095"
57,"Dr. Oliva Dabukke, S.Gz",+62 (276) 792-9592,2,"Jl. M.H Thamrin No. 216
Bekasi, Riau 98178"
58,Kunthara Iswahyudi,+62 (029) 641 9310,9,"Gang W.R. Supratman No. 705
Kota Administrasi Jakarta Utara, Bali 22926"
59,Gandi Gunarto,+62 (051) 332-3191,2,"Jl. Rumah Sakit No. 0
Payakumbuh, BE 88494"
60,Ajiono Hakim,+62 (036) 263 0358,1,"Gang Siliwangi No. 4
Makassar, Jawa Timur 98107"
61,"Hj. Umi Setiawan, M.Pd",+62 (46) 774-3943,8,"Jl. HOS. Cokroaminoto No. 204
Bau-Bau, Kalimantan Tengah 76495"
62,"Ratih Lailasari, S.Sos",+62 (438) 896 0450,4,"Gang Ciwastra No. 99
Padang Sidempuan, KU 97156"
63,Lurhur Marbun,+62 (710) 332-0557,6,"Jalan Cihampelas No. 0
Jayapura, Sumatera Selatan 57739"
